airline_name,iata_code,icao_code,callsign,country
Yangon Airways,HK,\N,Hotel Kilo,Burma
Transport Aérien Transrégional,IJ,\N,,France
Minerva Airlines,N4,\N,,Italy
Eastar Jet,ZE,ESR,Eastar,South Korea
Jin Air,LJ,JNA,Jin Air,South Korea
Aéris (Priv),SH,\N,,France
Air Arabia Maroc,3O,\N,Air Arabia,Morocco
Baltic Air lines,B1,BA1,Baltic,Latvia
Ciel Canadien,YC,YCC,Ciel,Canada
Canadian National Airways,CN,YCP,CaNational,Canada
Epic Holiday,FA,4AA,Epic,United States
Air Comet Chile,3I,\N,,Chile
Voronezhskie Airlanes,DN,\N,,Russia
Line Blue,L8,LBL,Bluebird,Germany
Blue Sky America,BU,BKY,,United States
Texas Spirit,XS,TXP,,United States
Illinois Airways,IL,ILW,,United States
Salzburg arrows,SZ,\N,SZA,Austria
Texas Wings,TQ,TXW,TXW,United States
California Western,KT,CWS,,United States
Dennis Sky,DH,DSY,DSY,Israel
Zz,ZZ,\N,,Belgium
Atifly,A1,A1F,atifly,United States
Air UK,UK,\N,,United Kingdom
Suckling Airways,CB,\N,,United Kingdom
Reno Sky,RY,\N,,United States
Ciao Air,99,\N,,Italy
Birmingham European,VB,\N,,United Kingdom
Pal airlines,5P,\N,,Chile
CanXpress,C1,CA1,CAX,Canada
Danube Wings (V5),V5,\N,,Slovakia
Sharp Airlines,SH,SHA,SHARP,Australia
CanXplorer,C2,CAP,,Canada
Click (Mexicana),QA,\N,,Mexico
World Experience Airline,W1,WE1,WEA,Canada
ALAK,J4,\N,,Russia
AJT Air International,E9,\N,,Russia
Air Choice One,3E,\N,,United States
China United,KN,\N,,China
Locair,ZQ,LOC,LOCAIR,United States
Safi Airlines,4Q,\N,,Afghanistan
SeaPort Airlines,K5,SQH,SASQUATCH,United States
Salmon Air,S6,\N,,United States
Fly Illi,IL,ILY,,United States
Star1 Airlines,V9,HCW,,Lithuania
Pelita,6D,\N,,Indonesia
Alpi Eagles (E8),E8,\N,,Italy
Alaska Seaplane Service,J5,\N,,United States
TAN,T8,\N,,Argentina
MexicanaLink,I6,MXI,LINK,Mexico
Island Spirit,IP,ISX,,Iceland
TACA Peru,T0,\N,TACA PERU,Peru
Pan Am World Airways Dominicana,7Q,\N,PAWA,Dominican Republic
Primera Air,PF,\N,PRIMERA,Iceland
Air Antilles Express,3S,\N,GREEN BIRD,Guadeloupe
Regional Paraguaya,P7,REP,REGIOPAR,Paraguay
VIP Ecuador,V6,\N,,Ecuador
Peruvian Airlines,P9,\N,,Peru
Polar Airlines,ЯП,\N,,Russia
Catovair,OC,\N,CATOVAIR,Mauritius
Halcyonair,7Z,\N,CREOLE,Cape Verde
Business Aviation,4P,\N,AFRICAN BUSINESS,Congo (Kinshasa)
Compagnie Africaine d\\'Aviation,E9,\N,AFRICOMPANY,Congo (Kinshasa)
Zambia Skyways,K8,\N,ZAMBIA SKIES,Zambia
AlMasria Universal Airlines,UJ,LMU,ALMASRIA,Egypt
SmartLynx Airlines,6Y,\N,,Latvia
KoralBlue Airlines,K7,KBR,KORAL BLUE,Egypt
Elysian Airlines,E4,GIE,,Cameroon
Hellenic Imperial Airways,HT,IMP,IMPERIAL,Greece
Amsterdam Airlines,WD,AAN,AMSTEL,Netherlands
Arik Niger,Q9,NAK,,Niger
Dana Air,DA,\N,DANACO,Nigeria
STP Airways,8F,STP,SAOTOME AIRWAYS,Sao Tome and Principe
Med Airways,7Y,\N,FLYING CARPET,Lebanon
Skyjet Airlines,UQ,SJU,SKYJET,Uganda
Air Volga,G6,\N,GOUMRAK,Russia
Royal Falcon,RL,RFJ,,Jordan
Euroline,4L,MJX,GEO-LINE,Georgia
Worldways,WG,WGC,,Canada
Athens Airways,ZF,\N,ATHENSAIR,Greece
Viking Hellas,VQ,VKH,DELPHI,Greece
Starline.kz,DZ,\N,ALUNK,Kazakhstan
Euro Harmony,EH,EHM,,Portugal
Lugansk Airlines,L7,\N,ENTERPRISE LUHANSK,Ukraine
Gryphon Airlines,6P,\N,,United States
Gadair European Airlines,GP,GDR,GADAIR,Spain
Spirit of Manila Airlines,SM,MNP,MANILA SKY,Philippines
Chongqing Airlines,OQ,CQN,CHONG QING,China
West Air China,PN,CHB,WEST CHINA,China
Falcon Air (IH),IH,\N,,Sweden
QatXpress,C3,QAX,,Qatar
OneChina,1C,1CH,,China
NordStar Airlines,Y7,\N,,Russia
Joy Air,JR,JOY,JOY AIR,China
Air India Regional,CD,\N,ALLIED,India
MDLR Airlines,9H,\N,MDLR,India
Maldivian,Q2,\N,ISLAND AVIATION,Maldives
Xpressair,XN,\N,,Indonesia
Strategic Airlines,VC,\N,,Australia
Al-Naser Airlines,NA,\N,,Iraq
Fuji Dream Airlines,JH,\N,FUJI DREAM,Japan
SGA Airlines,5E,\N,SIAM,Thailand
Air2there,F8,\N,,New Zealand
Avianova (Russia),AO,\N,Nova,Russia
Parmiss Airlines (IPV),PA,IPV,IPV,Iran
EuropeSky,ES,EUV,EuropeSky,Germany
BRAZIL AIR,GB,BZE,BRAZIL AIR,Brazil
Homer Air,MR,OME,,Germany
Court Line,??,???,,United Kingdom
South West Africa Territory Force,??,***,,Namibia
Lombards Air,++,---,,South Africa
U.S. Air,-+,--+,,United States
Flitestar,GM,Err:510,,South Africa
Llloyd Helicopters,::,:::,,Australia
Wilderness Air,;;,\N,,Australia
Whitaker Air,^^,\N,,Australia
PanAm World Airways,WQ,PQW,,United States
Virginwings,YY,VWA,,Germany
KSY,KY,KSY,KSY,Greece
Buquebus Líneas Aéreas,BQ,BQB,,Uruguay
SOCHI AIR,CQ,KOL,SLOW FROG,Russia
Wizz Air Ukraine,WU,WAU,WIZZAIR UKRAINE,Ukraine
88,47,VVN,,Cyprus
LCM AIRLINES,LQ,LMM,,Russia
Aero Brazil,BZ,BZL,,Brazil
Cambodia Angkor Air (K6),K6,\N,,Cambodia
Skyline nepc,D5,\N,,India
THREE,H3,T33,,China
Royal European Airlines,69,\N,,United Kingdom
Tom\\'s & co airliners,&T,T&O,T&,France
Azul,AD,AZU,,Brazil
LSM Airlines,PQ,LOO,slowbird,Russia
LionXpress,C4,LIX,LIX,Cameroon
Nik Airways,X1,\N,,Saudi Arabia
Genesis,GK,\N,,Pakistan
Congo Express,XZ,\N,EXPRESSWAYS,Congo (Kinshasa)
Fly Dubai,FZ,FDB,,United Arab Emirates
Domenican Airlines,D1,MDO,Domenican,Dominican Republic
Air Atlantic,9A,\N,Atlantic,Canada
Air Ops,CR,\N,,Sweden
Aereonautica militare,JY,AXZ,,Italy
LSM AIRLINES ,YZ,YZZ,Moscow frog ,Russia
Aero Lloyd (YP),YP,AEF,,Germany
UTair-Express,UR,\N,,Russia
Huaxia,G5,\N,,China
Zabaykalskii Airlines,ZP,ZZZ,Lakeair,Russia
Marysya Airlines,M4,1QA,MARSHAK AIR,Russia
N1,N1,\N,,Peru
Airlink (SAA),4Z,\N,,South Africa
JobAir,3B,\N,,Czech Republic
Zuliana de Aviacion,OD,ULA,,Venezuela
Black Stallion Airways,BZ,BSA,Stallion,United States
German International Air Lines,GM,GER,,Germany
TrasBrasil,TB,TBZ,,Brazil
TransBrasil Airlines,TH,THS,,Brazil
China SSS,9C,\N,,China
Nihon.jet,NJ,\N,,Japan
Transportes Aéreos Nacionales de Selva,TJ,\N,Aereos Selva,Peru
Air Mekong,P8,MKG,Air Mekong,Vietnam
Harbour Air (Priv),H3,\N,,Canada
Air Hamburg (AHO),HH,AHO,Air Hamburg,Germany
ZABAIKAL AIRLINES,Z6,ZTT,BAIKAL ,Russia
TransHolding,TI,THI,,Brazil
Yeti Airways,YT,\N,,Nepal
Yellowstone Club Private Shuttle,Y1,\N,YCS,United States
Caucasus Airlines,NS,\N,,Georgia
Serbian Airlines,S1,SA1,,Serbia
Windward Islands Airways,WM,\N,Winair,Netherlands Antilles
TransHolding System,YO,TYS,,Brazil
CCML Airlines,CB,CCC,,Colombia
Air Charter International,SF,\N,,France
Fly Brasil,F1,FBL,FBL,Brazil
CB Airways UK ( Interliging Flights ),1F,CIF,,United Kingdom
Fly Colombia ( Interliging Flights ),3F,3FF,,Colombia
Trans Pas Air,T6,TP6,,United States
KMV,МИ,\N,Air Minvody,Russia
Himalayan Airlines,HC,HYM,Himalayan,Nepal
Indya Airline Group,G1,IG1,Indya1,India
Sunwing,WG,\N,sunwing,Canada
Japan Regio,ZX,ZXY,,Japan
Norte Lineas Aereas,N0,\N,,Argentina
Austral Brasil,W7,\N,,Brazil
PEGASUS AIRLINES-,H9,\N,,Turkey
AirLiberté,IJ,\N,,France
Camair-co,QC,\N,,Cameroon
Aerocontinente (Priv),N6,\N,,Peru
Sky Regional,RS,SKV,Sky Regional,Canada
TUR Avrupa Hava YollarÄ±,YI,\N,TurAvrupa,Turkey
LSM International ,II,UWW,moose,Russia
Baikotovitchestrian Airlines ,BU,BUU,,American Samoa
Luchsh Airlines ,L4,LJJ,russian sky,Russia
Zimbabwean Airlines,Z7,\N,,Zimbabwe
Air Cargo Germany,6U,\N,Loadmaster,Germany
Mongolian International Air Lines ,7M,ZTF,Mongol_AIr ,Mongolia
Alaniya Airlines,2D,\N,,Russia
Tway Airlines,TW,TWB,TWAY AIR,South Korea
Papillon Grand Canyon Helicopters,HI,\N,,United States
Jusur airways,JX,JSR,,Egypt
NEXT Brasil,XB,NXB,XB,Brazil
AeroWorld ,W4,WER,sovet,Russia
Cook Island Air,KH,\N,,Cook Islands
US Africa Airways,E8,\N,,United States
GNB Linhas Aereas,GN,\N,,Brazil
Usa Sky Cargo,E1,ES2,USKY,United States
Hankook Airline,HN,HNX,HNX,South Korea
Red Jet America,RR,\N,,United States
REDjet,Z7,\N,,Barbados
Hellenic Airways,1H,HEY,Hellenic,Greece
Red Jet Andes,PT,\N,,Peru
Red Jet Canada,QY,\N,,Canada
Red Jet Mexico,4X,\N,,Mexico
Marusya Airways,Y8,MRS,snowball,Russia
Era Alaska,7H,ERR,ERAH,United States
AirRussia,R8,RRJ,russiancloud,Russia
Hankook Air US,H1,HA1,,United States
NEPC Airlines,D5,\N,,India
Canadian World,10,CNN,Canadian,Canada
I-Fly,H5,RSY,RUSSIAN SKY,Russia
T.A.T,IJ,\N,,France
Alinord,DN,\N,,Italy
Pacific Express,VB,\N,,United States
VickJet,KT,VKJ,Vickjet,France
BVI Airways,XV,\N,,British Virgin Islands
Salsa d\\'Haiti,SO,SLC,SALSA,Haiti
Zambezi Airlines (ZMA),ZJ,\N,,Zambia
Polet Airlines (Priv),YQ,\N,,Russia
TROPICAL LINHAS AEREAS,T1,TP3,,Brazil
12 North,12,N12,12N,India
Mauritania Airlines International,L6,MAI,,Mauritania
MAT Airways,6F,MKD,,Macedonia
Asian Wings Airways,AW,AWM,Asian Star,Burma
Air Arabia Egypt,E5,RBG,,Egypt
Alitalia Cityliner,CT,\N,,Italy
Orchid Airlines,OI,ORC,,Australia
Asia Wings,Y5,AWA,,Kazakhstan
Skywest Australia,XR,\N,,Australia
Nile Air,NP,NIA,NILEBIRD,Egypt
Senegal Airlines,DN,SGG,,Senegal
Fly 6ix,6I,\N,,Sierra Leone
Starbow Airlines,S9,\N,,Ghana
Copenhagen Express,0X,CX0,Copex,Denmark
BusinessAir,8B,BCC,,Thailand
SENIC AIRLINES,YR,\N,,United States
Sky Wing Pacific,C7,CR7,,South Korea
Air Indus,PP,AI0,AIPL,Pakistan
AirOne Polska,U1,1,AOC,Poland
Peach Aviation,MM,\N,Air Peach,Japan
Aviabus,U1,ABI,,Russia
Michael Airlines,DF,MJG,MJG,Puerto Rico
Korongo Airlines,ZC,KGO,KORONGO,Congo (Kinshasa)
Indonesia Sky,I5,IDS,,Indonesia
Pelangi ,9P,\N,,Malaysia
Aws express,B0,666,aws,United States
Southjet,76,SJS,,United States
Southjet connect,77,ZCS,,United States
Air Cape,KP,\N,,South Africa
Southjet cargo,78,XAN,,United States
Iberia Express,I2,IBS,,Spain
Interjet (ABC Aerolineas),4O,\N,INTERJET,Mexico
AirOnix,OG,\N,,Ukraine
Nordic Global Airlines,NJ,NGB,Nordic Global,Finland
Scoot,TZ,SCO,,Singapore
Starling Airlines Spain,SX,STS,STARLING,Spain
Hi Fly (5K),5K,\N,,Portugal
China Northwest Airlines (WH),WH,\N,,China
Zenith International Airline,ZN,ZNA,ZENITH,Thailand
Orbit Airlines Azerbaijan,O1,OAB,Orbitaz,Azerbaijan
Air Alps Aviation (A6),A6,\N,ALPAV,Austria
Patriot Airways,P4,\N,,United States
Vision Airlines (V2),V2,RBY,RUBY,United States
Chicago Express (C8),C8,\N,,United States
BQB Lineas Aereas,5Q,\N,,Uruguay
Yellowtail,YE,YEL,,United States
Royal Airways,KG,RAW,RAW,United States
FlyHigh Airlines Ireland (FH),FH,FHI,FLYHIRELAND,Ireland
Aero VIP (2D),2D,\N,,Portugal
Yangon Airways Ltd.,YH,\N,,Burma
T.J. Air,TJ,TJA,T.J. Air,United States
SkyWork Airlines ,SX,\N,SKYFOX,Switzerland
ValueJet,J7,VJA,CRITTER,United States
Maastricht Airlines,W2,\N,,Netherlands
CheapFlyingInternational,WL,FQR,cheapflying,France
Aviaexpresscruise,E6,\N,,Russia
Euro Jet,24,\N,,Germany
HQ- Business Express,HQ,\N,BizEx,United States
Royal Southern Airlines.,R1,RS1,RSA,Colombia
SOCHI AIR CHATER,Q3,QER,russian doll,Russia
Denim Air ,J7,\N,DNM,Norway
WestAir,OE,\N,,United States
WestAir Airlines,OE,\N,,United States
WestAir Airlines ,OE,\N,,United States
North Pacific Airlines,NO,\N,,United States
Malindo Air,OD,MXD,Malindo,Malaysia
Tramm Airlines,9F,TLM,9F,Netherlands Antilles
Lina Congo,GC,\N,,Congo (Brazzaville)
Flightlink Tanzania,Z9,\N,,Tanzania
IzAvia,I8,\N,,Russia
3 Valleys Airlines,3V,VA3,3 Valleys,France
Maryland Air,M1,M1F,Maryland Flight,United States
Insel Air (7I/INC) (Priv),7I,\N,,Netherlands Antilles
VivaColombia,5Z,VVC,,Colombia
Apache Air,ZM,IWA,APACHE,United States
MHS Aviation GmbH,M2,\N,,Germany
Jettor Airlines,NR,JTO,JETHAPPY,Hong Kong
GoDutch,GD,GOD,,Netherlands
Thai Lion Air,SL,\N,,Thailand
Deutsche Luftverkehrsgesellschaft,DW,DLT,,Germany
National Air Cargo,N8,NCR,,United States
Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States
Citilink Indonesia,QG,\N,SUPERGREEN,Indonesia
Gulisano airways,GU,GU1,,Italy
Caribbean Wings,XP,ZYZ,caribbean Wings,Turks and Caicos Islands
Snowbird Airlines,S8,SBD,,Finland
Kharkiv Airlines,KH,KHK,,Ukraine
XAIR USA,XA,XAU,XAIR,United States
Air Costa,LB,\N,,India
Global Freightways,F5,GF5,Freight,United States
XPTO,XP,XPT,XPTO,Portugal
Malawian Airlines,3W,\N,,Malawi
Avilu,..,...,,Switzerland
Air Serbia,JU,ASL,AIR SERBIA,Serbia
Air Lituanica,LT,LTU,LITUANICA,Lithuania
Rainbow Air (RAI),RN,RAB,Rainbow,United States
Rainbow Air Canada,RY,RAY,Rainbow CAN,Canada
Rainbow Air Polynesia,RX,RPO,Rainbow Air,United States
Rainbow Air Euro,RU,RUE,Rainbow Air,United Kingdom
Rainbow Air US,RM,RNY,Rainbow Air,United States
Dobrolet,QD,DOB,DOBROLET,Russia
Spike Airlines,S0,SAL,Spike Air,United States
All Argentina,L1,AL1,,Argentina
All America,A2,AL2,,United States
All Asia,L9,AL3,,China
All Africa,9A,99F,,South Africa
Regionalia México,N4,J88,,Mexico
All Europe,N9,N99,,United Kingdom
All Spain,N7,N77,,Spain
Regional Air Iceland,9N,N78,,Iceland
British Air Ferries,??,??!,,United Kingdom
Voestar,8K,K88,,Brazil
All Colombia,7O,7KK,,Colombia
Regionalia Uruguay,2X,2K2,,Uruguay
Regionalia Venezuela,9X,9XX,,Venezuela
Regionalia Chile,9J,CR1,,Chile
Vuela Cuba,6C,6CC,,Cuba
All Australia,88,8K8,,Australia
Fly Europa,ER,RWW,,Spain
FlyPortugal,PO,FPT,FlyPortugal,Portugal
Spring Airlines Japan,IJ,SJO,,Japan
Dense Airways,KP,DWA,DENSE,United States
Dense Connection,KZ,DC2,DC2,United States
Vuola Italia,4S,VI4,,Italy
Island Express Air,1X,\N,Abby Air,Canada
All Argentina Express,Z0,Z9H,,Argentina
Thai Smile Airways,WE,\N,THAI SMILE,Thailand
International AirLink,I4,\N,,Jamaica
Real Tonga,RT,\N,,Tonga
All America AR,2R,M7A,,Argentina
All America CL,1R,R1R,,Chile
SOCHI AIR EXPRESS,Q4,SAE,ADLER EXPRESS,Russia
All America BR,1Y,A9B,,Brazil
FRA Air,X9,X9F,FA,Germany
Royal,QN,\N,Roy,Canada
GREAT LAKES (GX),GX,\N,,Canada
Volotea Costa Rica,9V,VC9,,Costa Rica
Fly Romania,X5,OTJ,TENDER AIR,Romania
Eagle Atlantic Airlines,E2,\N,,Ghana
All America CO,0Y,7ZC,,Colombia
All America MX,0M,0MM,,Mexico
FOX Linhas Aereas,FX,FOX,,Brazil
Wings of England,EX,..,,
Air Kenya (Priv),QP,\N,,Kenya
Via Conectia Airlines,6V,CZV,,Uruguay
City Airways,E8,GTA,CITY AIR,Thailand
Norwegian Long Haul AS,DU,NLH,NORSTAR,Norway
TransNusa Air,M8,TNU,TRANSNUSA,Indonesia
Tomp Airlines,ZT,T9P,,Chile
OneJet,J1,\N,,United States
Global Airlines,0G,GA0,,Argentina
International Flying Service,F4,\N,,Italy
Air Vistara,UK,VTI,,India
TransRussiaAirlines,1E,RGG,,Russia
Severstal Air Company,D2,\N,,Russia
REXAIR VIRTUEL,RR,RXR,Rexair,France
WestJet Encore,WR,WEN,Encore,Canada
Air Pegasus,OP,PPL,,India
International Europe,9I,INE,,Spain
V Air,ZV,VAX,,Taiwan
Naka Nihon Airlines Service,NV,ALS,,Japan
Islands Express,X9,\N,,United States
Atlantic Air Services,X7,\N,,United States
Boutique Air (Priv),4B,BTQ,,United States
VOLOTEA Airways,V7,VOE,,Spain
Aguilar Connect,3X,GUI,Moonexpress,Chile
ROYAL BRITAIN,7V,ROB,,United Kingdom
INAVIA Internacional,Z5,IIR,,Argentina
Liberty Airways,LE,LTY,,United States
Аэросервис,АЯ,\N,,Russia
Bassaka airlines,5B,BSX,5B,Cambodia
SkyBahamas Airlines,Q7,\N,TROPICAL SKY,Bahamas
UVT Aero,UW,\N,,Russia
Silver Airways (3M),3M,\N,Silver Wings,United States
ATA Airlines (Iran),I3,\N,ATALAR,Iran
VIA Líneas Aéreas,V1,VIA,,Argentina
Palair Macedonia,3D,PMK,,Macedonia
Palair Macedonia (3D),3D,\N,,Macedonia
GermanXL,GX,GXG,,Germany
Fly France,FF,FRF,,France
Europe Jet,EX,EU9,,France
Deutsche Luftverkehrsgesellschaft (DLT),DW,DWD,,Germany
Atlantic Air Cargo,K3,\N,,United States
World Scale Airlines,W3,WSS,,United States
All America US,AG,SSA,,United States
BudgetAir,1K,BG1,,Germany
Fly One,F5,FI5,,Moldova
Nordica,EE,\N,REVAL,Estonia
Dummy,0E,\N,,France
All America BOPY,0P,PYB,BOPY,Paraguay
Air Andaman (2Y),2Y,AOW,AIR ANDAMAN,Thailand
Jetgo Australia,JG,\N,,Australia
Air Carnival,2S,\N,,India
Svyaz Rossiya,7R,SJM,RussianConnecty,Russia